OS,DESCRIÇÃO_DA_TAREFA,LOCAL,STATUS,TIPO_DE_MANUTENÇÃO,DATA,CUSTO
5530517,SOLDAGEM DE TRANSMISSÃO DO COMPRESSOR,ÁREA AZUL,CONCLUÍDA,Corretiva,2026-01-01,3170
5529861,RETIFICAÇÃO DE FREIO DO CÂMBIO,TIME 6,CONCLUÍDA,Corretiva,2026-01-01,1720
5530617,VERIFICAÇÃO DE TAPEÇARIA DO VENTILADOR INDUSTRIAL,LINHA 1,CONCLUÍDA,Preventiva,2026-01-01,300
5529954,ELIMINAÇÃO DE SUSPENSÃO DO TAPACARIA,LINHA 3,CONCLUÍDA,Corretiva,2026-01-01,2190
5529935,SUBSTITUIÇÃO DE RODÍZIOS DO RODÍZIO,TIME 2,CONCLUÍDA,Corretiva,2026-01-01,2900
5530683,INSPEÇÃO DA AREA AZUL,TIME 4,CONCLUÍDA,Preventiva,2026-01-01,510
5529738,CORREÇÃO DE PAINEL DO ALMOFADA,TIME 4,CONCLUÍDA,Corretiva,2026-01-01,1700
5529737,TESTE DE ISOLAMENTO DA AREA VERMELHA,TIME 1,CONCLUÍDA,Preventiva,2026-01-01,570
5530363,APERTO DE PARAFUSOS DE ALMOFADA DO ELETRÓLISE,TIME 5,CONCLUÍDA,Preventiva,2026-01-01,390
5530203,REALINHAMENTO DE RODÍZIOS DO PAINEL ELÉTRICO,ÁREA VERMELHA,ATRASADA,Corretiva,2026-01-01,3050
5530160,INSTALAÇÃO DE SUSPENSÃO DO ALMOFADA,TIME 3,ATRASADA,Corretiva,2026-01-01,2800
5530579,COLAGEM DE ALMOFADA DO CALDEIRA,OFICINA,CONCLUÍDA,Corretiva,2026-01-01,2300
5530726,VERIFICAÇÃO DA OFICINA PRINCIPAL,ÁREA VERDE,CONCLUÍDA,Preventiva,2026-01-01,680
5529987,SUBSTITUIÇÃO PROGRAMADA DE PINTURA DO EMPILHADEIRA,LINHA 1,CONCLUÍDA,Preventiva,2026-01-01,290
5530379,TROCA DE PINTURA DO VENTILADOR INDUSTRIAL,SETOR A,CONCLUÍDA,Corretiva,2026-01-01,3830
5530705,RETIFICAÇÃO DE FILTRO DO PAINEL ELÉTRICO,ÁREA LARANJA,CONCLUÍDA,Corretiva,2026-01-01,3680
5530703,COLOCAÇÃO DE SENSORES DO AGV,TIME 5,CONCLUÍDA,Corretiva,2026-01-01,4210
5530089,CORREÇÃO DE PINTURA DO CORREIA TRANSPORTADORA,TIME 2,CONCLUÍDA,Corretiva,2026-01-02,2570
5530308,SOLDAGEM DE PINTURA DO ESTEIRA,DEPÓSITO,CONCLUÍDA,Corretiva,2026-01-02,2580
5530099,CORREÇÃO DE SENSORES DO INVERSOR,TIME 2,CONCLUÍDA,Corretiva,2026-01-02,1460
5529801,COLOCAÇÃO DE DIREÇÃO DO PAINEL ELÉTRICO,SETOR A,ATRASADA,Corretiva,2026-01-02,4230
5530541,LUBRIFICAÇÃO DE PINTURA DO BOMBA HIDRÁULICA,SETOR B,ATRASADA,Preventiva,2026-01-02,210
5530104,VERIFICAÇÃO DE NÍVEL DE ESTEIRA DO INVERSOR,SETOR B,CONCLUÍDA,Preventiva,2026-01-02,260
5530474,REMOÇÃO DE TRANSMISSÃO DO SAPATA,TIME 5,CONCLUÍDA,Corretiva,2026-01-02,3630
5530201,INSPEÇÃO POR CORRENTES FOUCAULT DE FIAÇÃO DO MÓDULO DE CONTROLE,LINHA 2,CONCLUÍDA,Preditiva,2026-01-02,1280
5530660,REPARO DE ROLAMENTO DO ELETRÓLISE,ÁREA VERMELHA,CONCLUÍDA,Corretiva,2026-01-02,1970
5530664,COLAGEM DE ROLAMENTO DO CALDEIRA,SETOR D,CONCLUÍDA,Corretiva,2026-01-02,2860
5530026,ELIMINAÇÃO DE ESTEIRA DO ENGATE,ÁREA AZUL,CONCLUÍDA,Corretiva,2026-01-02,3140
5529919,INSPEÇÃO POR CORRENTES FOUCAULT DE FIAÇÃO DO COMPRESSOR,OFICINA,CONCLUÍDA,Preditiva,2026-01-02,670
5529918,INSPEÇÃO DA LINHA DE PRODUÇÃO 1,TIME 2,CONCLUÍDA,Preventiva,2026-01-02,380
5530466,REALINHAMENTO DE ESTEIRA DO ESTEIRA,TIME 6,ATRASADA,Corretiva,2026-01-02,2210
5529836,TESTE NÃO DESTRUTIVO DE SENSORES DO REDUTOR,TIME 1,CONCLUÍDA,Preditiva,2026-01-02,1380
5529853,INSTALAÇÃO DE EIXO DO ESTEIRA,TIME 3,CONCLUÍDA,Corretiva,2026-01-02,2720
5530284,APERTO DE PARAFUSOS DE CÂMBIO DO MÓDULO DE CONTROLE,SETOR D,CONCLUÍDA,Preventiva,2026-01-02,640
5529896,LIMPEZA DE SUSPENSÃO DO BOMBA HIDRÁULICA,SETOR D,CONCLUÍDA,Preventiva,2026-01-02,580
5529869,CORREÇÃO DE MOTOR DO EMPILHADEIRA,TIME 4,CONCLUÍDA,Corretiva,2026-01-02,3980
5530362,TROCA DE ÓLEO DE BOMBA DO VENTILADOR INDUSTRIAL,LINHA 2,CONCLUÍDA,Preventiva,2026-01-02,500
5530218,REALINHAMENTO DE FILTRO DO VENTILADOR INDUSTRIAL,ÁREA AZUL,ATRASADA,Corretiva,2026-01-02,2460
5530631,RECONSTRUÇÃO DE TRANSMISSÃO DO SENSOR ÓPTICO,LINHA 3,ATRASADA,Corretiva,2026-01-02,2660
5530475,SUBSTITUIÇÃO PROGRAMADA DE TAPEÇARIA DO SAPATA,SETOR D,CONCLUÍDA,Preventiva,2026-01-02,730
5530545,ULTRASSOM DE ALMOFADA DO EMPILHADEIRA,ÁREA AZUL,CONCLUÍDA,Preditiva,2026-01-02,1090
5529886,VERIFICAÇÃO DA AREA VERMELHA,LINHA 3,CONCLUÍDA,Preventiva,2026-01-02,640
5530553,CORREÇÃO DE RADIADOR DO CALDEIRA,TIME 6,CONCLUÍDA,Corretiva,2026-01-02,2200
5529758,ANÁLISE DE VIBRAÇÃO DE MOTOR DO ESTEIRA,DEPÓSITO,CONCLUÍDA,Preditiva,2026-01-02,690
5529961,REPARO DE ESTEIRA DO CORREIA TRANSPORTADORA,SETOR D,CONCLUÍDA,Corretiva,2026-01-02,1570
5530462,TROCA DE ÓLEO DE EIXO DO VÁLVULA,TIME 6,CONCLUÍDA,Preventiva,2026-01-02,600
5530449,TESTE NÃO DESTRUTIVO DE SAPATA DO MOTOR ELÉTRICO,SETOR C,CONCLUÍDA,Preditiva,2026-01-02,410
5530419,SUBSTITUIÇÃO PROGRAMADA DA OFICINA PRINCIPAL,ÁREA VERMELHA,CONCLUÍDA,Preventiva,2026-01-02,450
5529755,RECONSTRUÇÃO DE VÁLVULA DO ESTEIRA,SETOR D,CONCLUÍDA,Corretiva,2026-01-02,3580
5530191,RECONSTRUÇÃO DE TAPEÇARIA DO TAPACARIA,LINHA 1,CONCLUÍDA,Corretiva,2026-01-02,1750
5530415,SUBSTITUIÇÃO DE TUBULAÇÃO DO TAPUME,LINHA 2,CONCLUÍDA,Corretiva,2026-01-02,3200
5530591,TROCA DE DIREÇÃO DO ELETRÓLISE,DEPÓSITO,CONCLUÍDA,Corretiva,2026-01-02,1740
5529777,CORREÇÃO DE RODÍZIOS DO ENGATE,SETOR C,ATRASADA,Corretiva,2026-01-02,2710
5529785,REPARO DE ESTEIRA DO RODÍZIO,TIME 3,CONCLUÍDA,Corretiva,2026-01-03,3070
5529822,REVISÃO DE FIAÇÃO DO TAPACARIA,ÁREA VERMELHA,CONCLUÍDA,Corretiva,2026-01-03,2400
5530328,TESTE DE ISOLAMENTO DE SUSPENSÃO DO FORNO,ÁREA LARANJA,CONCLUÍDA,Preventiva,2026-01-03,690
5530031,TROCA DE TUBULAÇÃO DO VÁLVULA,SETOR D,CONCLUÍDA,Corretiva,2026-01-03,3310
5530113,RECONSTRUÇÃO DE EIXO DO ALMOFADA,SETOR D,CONCLUÍDA,Corretiva,2026-01-03,3150
5530648,CORREÇÃO DE DIREÇÃO DO SENSOR ÓPTICO,TIME 1,CONCLUÍDA,Corretiva,2026-01-03,4000
5529841,ULTRASSOM DE FIAÇÃO DO TAPUME,TIME 2,CONCLUÍDA,Preditiva,2026-01-03,1340
5530512,REPARO DE TAPEÇARIA DO ENGATE,SETOR D,CONCLUÍDA,Corretiva,2026-01-03,3080
5530289,REVISÃO DE FIAÇÃO DO RODÍZIO,LINHA 3,CONCLUÍDA,Corretiva,2026-01-03,3060
5529852,INSTALAÇÃO DE SENSORES DO MÓDULO DE CONTROLE,SETOR A,CONCLUÍDA,Corretiva,2026-01-03,2500
5529901,COLAGEM DE RADIADOR DO SAPATA,DEPÓSITO,CONCLUÍDA,Corretiva,2026-01-03,3180
5529894,TESTE DE FUNCIONAMENTO DE TAPEÇARIA DO ALMOFADA,SETOR B,CONCLUÍDA,Preventiva,2026-01-03,500
5530366,TESTE NÃO DESTRUTIVO DE VÁLVULA DO INVERSOR,TIME 2,CONCLUÍDA,Preditiva,2026-01-03,720
5530570,MEDIÇÃO DE VIBRAÇÃO DA AREA VERMELHA,LINHA 1,CONCLUÍDA,Preventiva,2026-01-03,490
5530052,REMOÇÃO DE CORREIA DO CORREIA TRANSPORTADORA,ÁREA VERMELHA,CONCLUÍDA,Corretiva,2026-01-03,1700
5530503,REPARO DE RODÍZIOS DO MOTOR ELÉTRICO,SETOR C,CONCLUÍDA,Corretiva,2026-01-03,3360
5530716,RECONSTRUÇÃO DE ENGATE DO ESTEIRA,LINHA 1,CONCLUÍDA,Corretiva,2026-01-03,3400
5529766,RECONSTRUÇÃO DE PAINEL DO ALMOFADA,TIME 5,CONCLUÍDA,Corretiva,2026-01-03,1740
5529962,CORREÇÃO DE SUSPENSÃO DO RODÍZIO,TIME 2,CONCLUÍDA,Corretiva,2026-01-03,1580
5530433,VERIFICAÇÃO DE NÍVEL DE FIAÇÃO DO SAPATA,ÁREA AZUL,CONCLUÍDA,Preventiva,2026-01-03,480
5529931,CALIBRAÇÃO DE SENSORES DO BATERIA,DEPÓSITO,CONCLUÍDA,Preventiva,2026-01-03,560
5530606,LUBRIFICAÇÃO DE PAINEL DO BATERIA,SETOR D,CONCLUÍDA,Preventiva,2026-01-03,390
5529767,VERIFICAÇÃO DE NÍVEL DA AREA AZUL,SETOR C,CONCLUÍDA,Preventiva,2026-01-03,520
5530593,REMOÇÃO DE ROLAMENTO DO BATERIA,LINHA 1,CONCLUÍDA,Corretiva,2026-01-03,2460
5530698,RECONSTRUÇÃO DE TUBULAÇÃO DO ENGATE,TIME 4,CONCLUÍDA,Corretiva,2026-01-03,2670
5530464,LIMPEZA DE TRANSMISSÃO DO SISTEMA PNEUMÁTICO,LINHA 2,CONCLUÍDA,Preventiva,2026-01-03,380
5530382,SUBSTITUIÇÃO DE SENSORES DO COMPRESSOR,ÁREA AZUL,ATRASADA,Corretiva,2026-01-03,3280
5529787,SUBSTITUIÇÃO DE FILTRO DO SENSOR ÓPTICO,ÁREA VERDE,CONCLUÍDA,Corretiva,2026-01-03,3270
5529786,COLAGEM DE PAINEL DO PONTU ROLANTE,ÁREA VERDE,CONCLUÍDA,Corretiva,2026-01-03,2670
5530603,AJUSTE DA LINHA DE PRODUÇÃO 2,TIME 2,CONCLUÍDA,Preventiva,2026-01-03,390
5530125,TROCA DE PAINEL DO CORREIA TRANSPORTADORA,ÁREA VERMELHA,CONCLUÍDA,Corretiva,2026-01-03,3130
5530212,COLAGEM DE PINTURA DO SAPATA,SETOR C,CONCLUÍDA,Corretiva,2026-01-04,3150
5530718,SUBSTITUIÇÃO DE SENSORES DO BOMBA HIDRÁULICA,SETOR A,CONCLUÍDA,Corretiva,2026-01-04,4110
5529905,ELIMINAÇÃO DE PAINEL DO RODÍZIO,TIME 6,CONCLUÍDA,Corretiva,2026-01-04,3670
5530445,ELIMINAÇÃO DE FILTRO DO EMPILHADEIRA,GARAGEM,CONCLUÍDA,Corretiva,2026-01-04,2230
5530243,CORREÇÃO DE ROLAMENTO DO SENSOR ÓPTICO,TIME 2,CONCLUÍDA,Corretiva,2026-01-04,1450
5529899,INSTALAÇÃO DE DIREÇÃO DO RODÍZIO,TIME 3,CONCLUÍDA,Corretiva,2026-01-04,2380
5529856,REVISÃO DE RODÍZIOS DO VENTILADOR INDUSTRIAL,TIME 5,CONCLUÍDA,Corretiva,2026-01-04,2050
5529844,RETIFICAÇÃO DE ASSOALHO DO BOMBA HIDRÁULICA,SETOR C,CONCLUÍDA,Corretiva,2026-01-04,1760
5530034,ANÁLISE DE VIBRAÇÃO DE RADIADOR DO TRANSPORTADOR,OFICINA,CONCLUÍDA,Preditiva,2026-01-04,900
5530229,TROCA DE ÓLEO DE TAPEÇARIA DO BOMBA HIDRÁULICA,SETOR D,CONCLUÍDA,Preventiva,2026-01-04,530
5529792,COLOCAÇÃO DE TAPEÇARIA DO SENSOR ÓPTICO,TIME 5,CONCLUÍDA,Corretiva,2026-01-04,4010
5529873,LIMPEZA DE ROLAMENTO DO EMPILHADEIRA,TIME 5,CONCLUÍDA,Preventiva,2026-01-04,280
5530156,RECONSTRUÇÃO DE MOTOR DO PONTU ROLANTE,ÁREA VERDE,CONCLUÍDA,Corretiva,2026-01-04,2030
5529855,REMOÇÃO DE ASSOALHO DO FORNO,TIME 3,CONCLUÍDA,Corretiva,2026-01-04,2090
5530314,CORREÇÃO DE FILTRO DO VENTILADOR INDUSTRIAL,TIME 5,CONCLUÍDA,Corretiva,2026-01-04,3000
5529850,SUBSTITUIÇÃO DE FILTRO DO MÓDULO DE CONTROLE,GARAGEM,CONCLUÍDA,Corretiva,2026-01-04,3040
5530365,SOLDAGEM DE RODÍZIOS DO CÂMBIO,TIME 4,CONCLUÍDA,Corretiva,2026-01-04,2820
5530403,REMOÇÃO DE RODÍZIOS DO FORNO,LINHA 3,CONCLUÍDA,Corretiva,2026-01-04,1390
5529909,TROCA DE EIXO DO INVERSOR,TIME 3,ATRASADA,Corretiva,2026-01-04,3090
5529999,SUBSTITUIÇÃO DE EMBREAGEM DO EMPILHADEIRA,SETOR C,CONCLUÍDA,Corretiva,2026-01-04,3780
5529765,AJUSTE DA LINHA DE PRODUÇÃO 2,SETOR A,CONCLUÍDA,Preventiva,2026-01-04,450
5530595,RETIFICAÇÃO DE ENGATE DO ALMOFADA,ÁREA VERDE,CONCLUÍDA,Corretiva,2026-01-04,2730
5530455,INSTALAÇÃO DE EIXO DO CARRETA,TIME 2,ATRASADA,Corretiva,2026-01-04,1600
5530209,REPARO DE RODÍZIOS DO SAPATA,SETOR D,CONCLUÍDA,Corretiva,2026-01-04,1670
5530372,TESTE NÃO DESTRUTIVO DE DIREÇÃO DO ESTEIRA,GARAGEM,CONCLUÍDA,Preditiva,2026-01-04,1210
5530255,LUBRIFICAÇÃO DA AREA AZUL,GARAGEM,CONCLUÍDA,Preventiva,2026-01-05,430
5530252,COLOCAÇÃO DE VÁLVULA DO BOMBA HIDRÁULICA,SETOR C,CONCLUÍDA,Corretiva,2026-01-05,2260
5529871,TESTE DE ISOLAMENTO DA LINHA DE PRODUÇÃO 2,TIME 2,CONCLUÍDA,Preventiva,2026-01-05,640
5529739,MEDIÇÃO DE VIBRAÇÃO DA AREA AZUL,SETOR B,CONCLUÍDA,Preventiva,2026-01-05,250
5530081,TROCA DE ÓLEO DE ROLAMENTO DO EMPILHADEIRA,ÁREA VERMELHA,CONCLUÍDA,Preventiva,2026-01-05,830
5530550,INSPEÇÃO VISUAL DA AREA AZUL,TIME 1,CONCLUÍDA,Preventiva,2026-01-05,630
5530594,COLOCAÇÃO DE FREIO DO PONTU ROLANTE,LINHA 3,ATRASADA,Corretiva,2026-01-05,3600
5530405,REMOÇÃO DE BOMBA DO RODÍZIO,ÁREA VERDE,CONCLUÍDA,Corretiva,2026-01-05,3310
5530228,TESTE DE FUNCIONAMENTO DE FIAÇÃO DO SISTEMA PNEUMÁTICO,SETOR C,CONCLUÍDA,Preventiva,2026-01-05,580
5530364,REVISÃO DE EMBREAGEM DO BATERIA,ÁREA VERMELHA,ATRASADA,Corretiva,2026-01-05,4440
5530393,COLAGEM DE ASSOALHO DO SISTEMA PNEUMÁTICO,ÁREA LARANJA,CONCLUÍDA,Corretiva,2026-01-05,2480
5530505,VERIFICAÇÃO DE NÍVEL DE RODÍZIOS DO SAPATA,ÁREA AZUL,CONCLUÍDA,Preventiva,2026-01-05,450
5530279,ELIMINAÇÃO DE EMBREAGEM DO CORREIA TRANSPORTADORA,LINHA 1,CONCLUÍDA,Corretiva,2026-01-05,3920
5530342,LUBRIFICAÇÃO DE ROLAMENTO DO CORREIA TRANSPORTADORA,ÁREA VERMELHA,CONCLUÍDA,Preventiva,2026-01-05,310
5529842,VERIFICAÇÃO DE PAINEL DO CARRETA,SETOR B,CONCLUÍDA,Preventiva,2026-01-05,600
5529908,SUBSTITUIÇÃO PROGRAMADA DE FREIO DO BATERIA,LINHA 3,CONCLUÍDA,Preventiva,2026-01-05,450
5529906,SUBSTITUIÇÃO DE ESTEIRA DO CÂMBIO,GARAGEM,CONCLUÍDA,Corretiva,2026-01-05,1290
5530101,REVISÃO DE TAPEÇARIA DO CORREIA TRANSPORTADORA,ÁREA VERDE,CONCLUÍDA,Corretiva,2026-01-05,2220
5530511,INSTALAÇÃO DE PAINEL DO ESTEIRA,ÁREA VERMELHA,CONCLUÍDA,Corretiva,2026-01-05,3870
5530122,RETIFICAÇÃO DE TUBULAÇÃO DO VÁLVULA,TIME 4,CONCLUÍDA,Corretiva,2026-01-05,3040
5530000,REVISÃO DE TUBULAÇÃO DO VÁLVULA,TIME 1,ATRASADA,Corretiva,2026-01-05,3290
5530296,REMOÇÃO DE SAPATA DO RODÍZIO,OFICINA,CONCLUÍDA,Corretiva,2026-01-05,1890
5530649,SUBSTITUIÇÃO DE CÂMBIO DO CORREIA TRANSPORTADORA,GARAGEM,CONCLUÍDA,Corretiva,2026-01-05,2160
5530357,TESTE NÃO DESTRUTIVO DE ESTEIRA DO VENTILADOR INDUSTRIAL,DEPÓSITO,CONCLUÍDA,Preditiva,2026-01-05,400
5530444,COLOCAÇÃO DE ROLAMENTO DO VÁLVULA,ÁREA VERMELHA,CONCLUÍDA,Corretiva,2026-01-05,3730
5530387,COLAGEM DE RADIADOR DO INVERSOR,ÁREA VERDE,CONCLUÍDA,Corretiva,2026-01-05,3050
5529744,CALIBRAÇÃO DA SETOR C,TIME 4,CONCLUÍDA,Preventiva,2026-01-05,800
5530581,APERTO DE PARAFUSOS DE SAPATA DO SENSOR,ÁREA LARANJA,CONCLUÍDA,Preventiva,2026-01-05,460
5530153,COLOCAÇÃO DE DIREÇÃO DO CORREIA TRANSPORTADORA,LINHA 3,CONCLUÍDA,Corretiva,2026-01-05,2270
5530610,COLOCAÇÃO DE FIAÇÃO DO PAINEL ELÉTRICO,LINHA 2,CONCLUÍDA,Corretiva,2026-01-06,2010
5529971,SOLDAGEM DE TUBULAÇÃO DO SENSOR ÓPTICO,ÁREA VERMELHA,CONCLUÍDA,Corretiva,2026-01-06,1900
5529903,CORREÇÃO DE EMBREAGEM DO TAPUME,LINHA 2,CONCLUÍDA,Corretiva,2026-01-06,1710
5530264,CORREÇÃO DE BOMBA DO SENSOR ÓPTICO,ÁREA AZUL,CONCLUÍDA,Corretiva,2026-01-06,2450
5529991,RECONSTRUÇÃO DE PAINEL DO MÓDULO DE CONTROLE,SETOR C,CONCLUÍDA,Corretiva,2026-01-06,2170
5530598,COLAGEM DE CORREIA DO SENSOR ÓPTICO,DEPÓSITO,CONCLUÍDA,Corretiva,2026-01-06,3570
5529981,VERIFICAÇÃO DE NÍVEL DA LINHA DE PRODUÇÃO 2,LINHA 1,CONCLUÍDA,Preventiva,2026-01-06,630
5529824,SUBSTITUIÇÃO DE FILTRO DO VÁLVULA,TIME 2,CONCLUÍDA,Corretiva,2026-01-06,3030
5530315,SUBSTITUIÇÃO DE TUBULAÇÃO DO ENGATE,TIME 3,CONCLUÍDA,Corretiva,2026-01-06,1750
5530131,REALINHAMENTO DE CORREIA DO SAPATA,TIME 2,CONCLUÍDA,Corretiva,2026-01-06,3180
5530132,REVISÃO DE VÁLVULA DO COMPRESSOR,TIME 3,ATRASADA,Corretiva,2026-01-06,2110
5529782,ELIMINAÇÃO DE VÁLVULA DO ELETRÓLISE,SETOR A,CONCLUÍDA,Corretiva,2026-01-06,2810
5529789,REVISÃO DE SAPATA DO TRANSPORTADOR,SETOR C,CONCLUÍDA,Corretiva,2026-01-06,3630
5530687,REMOÇÃO DE SAPATA DO ELETRÓLISE,TIME 6,CONCLUÍDA,Corretiva,2026-01-06,3150
5530182,COLOCAÇÃO DE ENGATE DO SENSOR,ÁREA VERMELHA,CONCLUÍDA,Corretiva,2026-01-06,3530
5529823,TESTE DE ISOLAMENTO DE DIREÇÃO DO VENTILADOR INDUSTRIAL,LINHA 1,CONCLUÍDA,Preventiva,2026-01-06,450
5530317,ELIMINAÇÃO DE TUBULAÇÃO DO ELETRÓLISE,TIME 2,CONCLUÍDA,Corretiva,2026-01-06,3520
5530078,ANÁLISE DE ESTEIRA DO TAPUME,TIME 5,CONCLUÍDA,Preditiva,2026-01-06,1300
5530401,VERIFICAÇÃO DE ENGATE DO EMPILHADEIRA,TIME 3,CONCLUÍDA,Preventiva,2026-01-06,280
5530642,SUBSTITUIÇÃO DE PINTURA DO INVERSOR,DEPÓSITO,CONCLUÍDA,Corretiva,2026-01-06,1860
5530330,ELIMINAÇÃO DE TAPEÇARIA DO SENSOR,ÁREA VERDE,CONCLUÍDA,Corretiva,2026-01-06,2670
5530128,ANÁLISE DE VIBRAÇÃO DE FREIO DO SAPATA,DEPÓSITO,CONCLUÍDA,Preditiva,2026-01-06,1380
5530214,CORREÇÃO DE BOMBA DO MOTOR ELÉTRICO,SETOR D,ATRASADA,Corretiva,2026-01-06,2120
5530492,TROCA DE ÓLEO DE PAINEL DO VENTILADOR INDUSTRIAL,SETOR C,CONCLUÍDA,Preventiva,2026-01-06,680
5529874,TESTE DE ISOLAMENTO DE SAPATA DO ELETRÓLISE,DEPÓSITO,CONCLUÍDA,Preventiva,2026-01-06,510
5530724,ELIMINAÇÃO DE EMBREAGEM DO TAPUME,ÁREA AZUL,CONCLUÍDA,Corretiva,2026-01-06,1920
5530424,RECONSTRUÇÃO DE TUBULAÇÃO DO TAPUME,DEPÓSITO,CONCLUÍDA,Corretiva,2026-01-06,3140
5530176,ELIMINAÇÃO DE SAPATA DO TAPACARIA,LINHA 2,CONCLUÍDA,Corretiva,2026-01-06,1720
5530172,TROCA DE ÓLEO DE ROLAMENTO DO TRANSPORTADOR,TIME 2,CONCLUÍDA,Preventiva,2026-01-06,630
5529865,ELIMINAÇÃO DE RADIADOR DO REDUTOR,ÁREA VERMELHA,CONCLUÍDA,Corretiva,2026-01-06,3040
5530136,REALINHAMENTO DE EIXO DO CÂMBIO,LINHA 2,CONCLUÍDA,Corretiva,2026-01-07,3240
5530200,SOLDAGEM DE ENGATE DO EMPILHADEIRA,OFICINA,CONCLUÍDA,Corretiva,2026-01-07,3440
5530407,MONITORAMENTO DE ESTEIRA DO TAPUME,DEPÓSITO,CONCLUÍDA,Preditiva,2026-01-07,610
5530395,SUBSTITUIÇÃO PROGRAMADA DA DEPÓSITO CENTRAL,ÁREA VERMELHA,CONCLUÍDA,Preventiva,2026-01-07,300
5530047,VERIFICAÇÃO DE NÍVEL DE ROLAMENTO DO BATERIA,TIME 2,CONCLUÍDA,Preventiva,2026-01-07,220
5530552,INSPEÇÃO VISUAL DE SUSPENSÃO DO VENTILADOR INDUSTRIAL,SETOR B,CONCLUÍDA,Preventiva,2026-01-07,600
5530219,APERTO DE PARAFUSOS DE CORREIA DO PAINEL ELÉTRICO,LINHA 2,CONCLUÍDA,Preventiva,2026-01-07,660
5529794,VERIFICAÇÃO DE NÍVEL DA AREA LARANJA,SETOR D,CONCLUÍDA,Preventiva,2026-01-07,410
5530669,VERIFICAÇÃO DA AREA VERMELHA,SETOR A,CONCLUÍDA,Preventiva,2026-01-07,600
5530242,INSTALAÇÃO DE CÂMBIO DO BOMBA HIDRÁULICA,TIME 5,CONCLUÍDA,Corretiva,2026-01-07,2310
5530004,CORREÇÃO DE ASSOALHO DO CALDEIRA,TIME 5,CONCLUÍDA,Corretiva,2026-01-07,3450
5530690,RECONSTRUÇÃO DE BOMBA DO SAPATA,GARAGEM,CONCLUÍDA,Corretiva,2026-01-07,3040
5530622,SOLDAGEM DE PAINEL DO CORREIA TRANSPORTADORA,TIME 3,CONCLUÍDA,Corretiva,2026-01-07,1730
5530467,SUBSTITUIÇÃO DE CORREIA DO CALDEIRA,TIME 5,CONCLUÍDA,Corretiva,2026-01-07,2150
5530012,COLAGEM DE TRANSMISSÃO DO TAPUME,ÁREA LARANJA,CONCLUÍDA,Corretiva,2026-01-07,3230
5530521,ANÁLISE DE ÓLEO DE VÁLVULA DO BOMBA HIDRÁULICA,TIME 6,CONCLUÍDA,Preditiva,2026-01-07,710
5529967,TROCA DE PAINEL DO EMPILHADEIRA,TIME 1,CONCLUÍDA,Corretiva,2026-01-07,1570
5530640,TESTE DE FUNCIONAMENTO DE ESTEIRA DO ENGATE,SETOR A,CONCLUÍDA,Preventiva,2026-01-07,420
5529847,COLAGEM DE ESTEIRA DO SAPATA,TIME 4,CONCLUÍDA,Corretiva,2026-01-07,2930
5530356,INSPEÇÃO POR CORRENTES FOUCAULT DE MOTOR DO TAPACARIA,LINHA 2,CONCLUÍDA,Preditiva,2026-01-07,970
5530074,REMOÇÃO DE PINTURA DO VÁLVULA,TIME 5,CONCLUÍDA,Corretiva,2026-01-07,1580
5530484,SUBSTITUIÇÃO DE TRANSMISSÃO DO EMPILHADEIRA,LINHA 2,CONCLUÍDA,Corretiva,2026-01-07,1940
